Weapon type,name,Number of found,Weight,Cost,mods,Damage Rating,Effects,Damage type,Rate of Fire,Range,Qualities,Rarity,Creatures Damage Rating,Ammo
Big Guns,Gatling Laser,1,13,804,,3,"Piercing 1, Burst",Energy damage,6,M,"Inaccurate, Two-Handed, Gatling",3,9,
Big Guns,Heavy Incinerator,1,13,350,,5,"Spread, Persistent, Burst",Energy damage,3,M,"Two-Handed, Debilitating",4,8,
Big Guns,Junk Jet,1,13,285,,6,,Physical,1,M,Two-Handed,3,7,
Big Guns,Minigun,1,13,382,,3,"Spread, Burst",Physical,5,M,"Inaccurate, Two-Handed, Gatling",2,8,
Big Guns,Missile Launcher,1,13,314,,11,,Physical,0,L,"Two-Handed, Blast",4,11,
Melee Weapon,Sword,1,13,50,,4,Piercing 1,Physical,0,C,Parry,2,4,
Melee Weapon,Combat Knife,1,13,25,,3,Piercing 1,Physical,0,C,,1,3,
Melee Weapon,Machete,1,13,25,,3,Piercing 1,Physical,0,C,,1,3,
Melee Weapon,Ripper,1,13,50,,4,Vicious,Physical,0,C,,2,4,
Melee Weapon,Shishkebab,1,13,200,,5,Piercing 1,Energy damage,0,C,Parry,3,5,
Melee Weapon,Switchblade,1,13,20,,2,Piercing 1,Physical,0,C,Concealed,0,2,
Melee Weapon,Baseball Bat,1,13,25,,4,,Physical,0,C,Two-Handed,1,4,
Melee Weapon,Aluminum Baseball Bat,1,13,32,,5,,Physical,0,C,Two-Handed,2,5,
Melee Weapon,Board,1,13,20,,4,,Physical,0,C,Two-Handed,0,4,
Melee Weapon,Lead Pipe,1,13,15,,3,,Physical,0,C,,0,3,
Melee Weapon,Pipe Wrench,1,13,30,,3,,Physical,0,C,,1,3,
Melee Weapon,Pool Cue,1,13,10,,3,,Physical,0,C,Two-Handed,0,3,
Melee Weapon,Rolling Pin,1,13,10,,3,,Physical,0,C,,0,3,
Melee Weapon,Baton,1,13,15,,3,,Physical,0,C,,1,3,
Melee Weapon,Sledgehammer,1,13,40,,5,,Physical,0,C,Two-Handed,2,5,
Melee Weapon,Super Sledge,1,13,180,,6,Breaking,Physical,0,C,Two-Handed,3,6,
Melee Weapon,Tire Iron,1,13,25,,3,,Physical,0,C,,1,3,
Melee Weapon,Walking Cane,1,13,10,,3,,Physical,0,C,,0,3,
Melee Weapon,Boxing Glove,1,13,10,,3,Stun,Physical,0,C,,1,3,
Melee Weapon,Deathclaw Gauntlet,1,13,75,,5,Piercing 1,Physical,0,C,,3,5,
Melee Weapon,Knuckles,1,13,10,,3,,Physical,0,C,Concealed,1,3,
Melee Weapon,Power Fist,1,13,100,,4,Stun,Physical,0,C,,2,4,
Melee Weapon,Throwing Knives,1,13,10,,3,Piercing 1,Physical,0,C,"Supressed, Thrown, Concealed",1,3,
Melee Weapon,Tomahawk,1,13,15,,4,Piercing 1,Physical,0,C,"Supressed, Thrown",2,4,
Melee Weapon,Javelin,1,13,10,,4,Piercing 1,Physical,0,C,"Supressed, Thrown",1,4,
Explosive,Baseball Grenade,1,13,40,,5,,Physical,0,M,"Blast, Thrown",1,5,
Explosive,Frag Grenade,1,13,50,,6,,Physical,0,M,"Blast, Thrown",2,6,
Explosive,Molotov Cocktail,1,13,20,,4,"Breaking, Persistent",Energy damage,0,M,"Blast, Thrown",1,4,
Explosive,Nuka Grenade,1,13,100,,9,"Vicious, Breaking, Radioactive",Energy damage,0,M,"Blast, Thrown",4,9,
Explosive,Plasma Grenade,1,13,135,,9,,Energy damage,0,M,"Blast, Thrown",3,9,
Explosive,Pulse Grenade,1,13,100,,6,Stun,Energy damage,0,M,"Blast, Thrown",3,6,
Explosive,Bottlecap Mine,1,13,75,,6,,Physical,0,M,"Blast, Mine",2,6,
Explosive,Frag Mine,1,13,50,,6,,Physical,0,M,"Blast, Mine",2,6,
Explosive,Nuke Mine,1,13,100,,9,"Vicious, Breaking, Radioactive",Energy damage,0,M,"Blast, Mine",4,9,
Explosive,Plasma Mine,1,13,135,,9,,Energy damage,0,M,"Blast, Mine",3,9,
Explosive,Pulse Mine,1,13,100,,6,Stun,Energy damage,0,M,"Blast, Mine",3,6,
Small Guns,.357 Magnum Revolver,1,2,110,,5,Vicious,Physical,1,C,"Close Quarters, Reliable",2,5,
Small Guns,12.7mm Pistol,1,4,400,,6,,Physical,1,C,"Close Quarters, Recoil (7)",4,6,
Small Guns,12.7mm SMG,1,5,510,,5,Burst,Physical,3,C,"Inaccurate, Recoil (7), Two-Handed",4,5,
Small Guns,25mm Grenade APW,1,8,420,,4,,Physical,1,L,"Blast, Two-Handed",4,4,25mm Grenade
Small Guns,9mm Pistol,1,2,50,,3,,Physical,2,C,"Close Quarters, Concealed, Reliable",2,3,
Small Guns,Anti-Materiel Rifle,1,20,560,,8,Vicious,Physical,0,L,"Reliable, Two-Handed, Recoil (8)",4,8,
Small Guns,Battle Rifle,1,10,150,,7,Piercing 1,Physical,1,M,"Reliable, Two-Handed",3,7,
Small Guns,Black Powder Blunderbuss,1,3,90,,7,Vicious,Physical,0,C,"Close Quarters, Inaccurate, Recoil (7), Slow Load",3,7,
Small Guns,Black Powder Pistol,1,3,60,,7,Vicious,Physical,0,C,"Recoil (7), Slow Load",3,7,
Small Guns,Black Powder Rifle,1,6,60,,8,Vicious,Physical,0,M,"Recoil (7), Slow Load",3,8,
Small Guns,Gauss Pistol,1,6,334,,8,Piercing 1,Physical,1,M,,5,8,
Small Guns,Gauss Shotgun,1,14,400,,7,"Piercing 1, Spread",Physical,0,C,"Ammo-Hungry (10), Two-Handed",5,7,
Small Guns,Lever-Action Rifle,1,9,201,,7,Piercing 1,Physical,0,M,,3,7,
Small Guns,Light Machine Gun,1,15,150,,5,Burst,Physical,4,M,"Inaccurate, Recoil (8), Two-Handed",3,5,
Small Guns,Pump-Action Shotgun,1,11,70,,5,Spread,Physical,1,C,"Inaccurate, Two-Handed",1,5,
Small Guns,Radium Rifle,1,11,110,,4,Radioactive,Physical,3,M,Two-Handed,3,4,
Small Guns,Sniper Rifle,1,10,300,,7,Piercing 1,Physical,0,L,"Accurate, Two-Handed",4,7,
Energy Weapon,Alien Atomizer,1,3,1536,,6,Vicious,Energy,3,C,"Close Quarters, Reliable",5,6,
Energy Weapon,Alien Disintegrator,1,7,921,,8,Vicious,Energy,2,M,"Two-Handed, Reliable",5,8,
Energy Weapon,Arc Welder,1,15,370,,3,Stun,Energy,4,C,"Surge, Two-Handed",4,3,Fusion Cell
Energy Weapon,Microwave Emitter,1,8,500,,6,"Persistent, Piercing 3",Energy,1,M,Two-Handed,5,6,
Energy Weapon,Tesla Rifle,1,8,180,,4,Arc,Energy,2,M,Two-Handed,4,4,Fusion Cell
Big Guns,.50 Cal Machine Gun,1,31,350,,7,Burst,Physical,3,M,"Two-Handed, Recoil (9)",3,7,.50
Big Guns,Auto Grenade Launcher,1,30,450,,6,Breaking,Physical,2,L,"Bombard, Inaccurate",4,6,40mm Grenade
Big Guns,Drone Cannon,1,18,600,,8,Breaking,Energy,0,M,"Ammo-Hungry (20), Blast, Inaccurate, Slow Load",5,8,Alien Power Module
Big Guns,Gatling Gun,1,20,350,,3,"Burst, Spread",Physical,3,M,"Gatling, Inaccurate, Recoil (6), Two-Handed",1,3,5mm
Big Guns,Gatling Plasma,1,24,1000,,4,Burst,Physical/Energy,4,M,"Gatling, Inaccurate, Two-Handed",4,4,Plasma Cartridge or Plasma Core
Big Guns,Gauss Minigun,1,38,912,,6,"Burst, Piercing 1",Physical,3,L,"Gatling, Two-Handed",6,6,2mm EC
Big Guns,Plasma Caster,1,30,700,,8,Burst,Physical/Energy,3,M,"Inaccurate, Recoil (8), Two-Handed",5,8,Plasma Cartridge
Big Guns,Tesla Cannon,1,24,870,,8,"Arc, Piercing 2",Energy,0,L,"Accurate, Ammo-Hungry (5), Surge, Two-Handed",5,8,Fusion Cell
Bow,Bow,1,3,44,,3,,Physical,2,M,"Suppressed, Recoil (6), Two-Handed",1,3,Arrow
Bow,Crossbow,1,3,44,,5,,Physical,0,M,"Suppressed, Two-Handed, Slow Load",2,5,Crossbow Bolt
Melee Weapon,Assaultron Blade,1,3,50,,4,Piercing 1,Physical,0,C,,3,4,
Melee Weapon,Auto-Axe,1,20,100,,5,Vicious,Physical,0,C,Two-Handed,3,5,
Unarmed,Ballistic Fist,1,6,150,,6,"Stun, Vicious",Physical,0,C,Slow Load,4,6,
Melee Weapon,Bumper Sword,1,12,125,,6,Piercing 1,Physical,0,C,"Recoil (7), Two-Handed",2,6,
Melee Weapon,Cattle Prod,1,3,90,,7,Stun,Energy,0,C,,4,7,
Melee Weapon,Chainsaw,1,12,140,,6,Vicious,Physical,0,C,Two-Handed,3,6,
Unarmed,Death Tambo,1,1,40,,4,Piercing 1,Physical,0,C,,2,4,
Unarmed,Displacer Glove,1,6,175,,6,"Piercing 1, Stun",Physical,0,C,,4,6,
Melee Weapon,Guitar Sword,1,3,45,,4,Piercing 1,Physical,0,C,Parry,3,4,
Melee Weapon,Mr Handy Buzz Blade,1,10,50,,4,Vicious,Physical,0,C,Two-Handed,2,4,
Melee Weapon,Multi-Purpose Axe,1,4,40,,5,,Physical,0,C,Two-Handed,2,5,
Melee Weapon,Proton Axe,1,8,175,,5,Piercing 1,Energy,0,C,Surge,5,5,
Melee Weapon,War Drum,1,20,115,,5,Stun,Physical,0,C,Two-Handed,3,5,
Explosive,Cryogenic Grenade,1,1,50,,6,Freeze,Energy,0,M,"Blast, Thrown",3,6,
Explosive,Cryo Mine,1,1,50,,6,Freeze,Energy,0,M,"Blast, Mine",3,6,
Explosive,Detonator,1,1,75,,0,,Special,0,C,,3,0,
Explosive,Dynamite,1,0.5,25,,5,,Physical,0,M,"Blast, Thrown",2,5,
Explosive,Dynamite Bundle,1,2,150,,9,Breaking,Physical,0,X,"Blast, Delay, Placed",3,9,
Explosive,Flash Bang,1,1,40,,0,Special,Special,0,M,"Blast, Thrown",2,0,
Explosive,Frag Grenade MIRV,1,1,75,,5,Spread,Physical,0,M,"Blast, Thrown",4,5,
Explosive,Plastic Explosives,1,2,200,,10,"Breaking, Piercing 1",Physical,0,X,"Blast, Delay, Placed",4,10,
Explosive,Powder Charge,1,1,25,,4,,Physical,0,M,"Blast, Mine",1,4,
Explosive,Smoke Grenade,1,1,40,,0,Special,Special,0,M,"Blast, Thrown",2,0,
Small Guns,M79 Grenade Launcher,1,6,300,,6,,Physical,0,L,"Blast, Inaccurate, Slow Load",3,6,40mm Grenade Round
Small Guns,Smoke Claws,1,,,,4,Persistent,Poison,0,M,"Blast, Inaccurate",,4,Gas Grenade
Energy Weapon,Acid Soaker,1,3,125,,3,"Breaking, Persistent",Poison,2,C,"Debilitating, Inaccurate",3,3,Acid Concentrate
Energy Weapon,Alien Blaster,1,2,90,,5,Vicious,Energy/Radiation,2,C,"Close Quarters, Inaccurate",5,5,Alien Blaster Round
Energy Weapon,Assaultron Head Laser,1,8,115,,5,Piercing 1,Energy,0,C,,4,5,Fusion Cell
Energy Weapon,Cryojet,1,8,261,,3,"Burst, Freeze",Energy,3,C,Inaccurate,4,3,Cryo Cell
Energy Weapon,Mesmetron,1,2,120,,3,Stun,Energy,1,M,,4,3,Gamma Round
Big Guns,Broadsider,1,16,140,,10,Breaking,Physical,0,M,"Blast, Two-Handed",5,10,Cannonball
Big Guns,Cryolator,1,14,300,,4,"Burst, Freeze, Spread",Energy,4,C,"Inaccurate, Two-Handed",4,4,Cryo Cell
Big Guns,Harpoon Gun,1,16,120,,12,Piercing 1,Physical,0,M,"Debilitating, Inaccurate, Two-Handed",5,12,Harpoon
Melee Weapon,Buzz Saw,1,3,25,,3,Piercing,Physical,0,C,,2,3,
Unarmed,Claw,1,2,25,,3,,Physical,0,C,,1,3,
Unarmed,Construction Claw,1,3,25,,4,Breaking,Physical,0,C,,0,4,
Unarmed,Drill,1,20,50,,5,Vicious,Physical,0,C,Debilitating,1,5,
Unarmed,Vice Grip,1,15,30,,4,Breaking,Physical,0,C,,2,4,
